别名版本	SNAPSHOT @ 2023-12-01 21:12:09																		
True Love Song	真爱歌																		
Color My World																			
Future	未来	星星歌																	
Love You	爱你																		
コネクト																			
In Chaos	阴超市	超市	在超市	阴间超市															
Crush On You	coy	COU																	
Sun Dance	阳舞	太阳舞	日跳舞	日舞															
Sweets×Sweets	小甜甜																		
Love or Lies																			
ネコ日和。	猫日和	猫天气	猫																
虹と太陽	虹太阳	虹与太阳																	
炭★坑★節	炭坑节	光★吉★猛★修																	
NIGHT OF FIRE	夜火	逮虾户																	
come again	再来一遍																		
jelly	中田女士																		
ハッピーシンセサイザ	快乐合成器																		
ルカルカ★ナイトフィーバー	luka	来一发	rukarukanightfever	rukaruka															
源平大戦絵巻テーマソング	源平	源平1	源平大战	原批大战罕见															
美しく燃える森	美燃森	美丽燃烧的森林																	
ウッーウッーウマウマ(ﾟ∀ﾟ)	扭腰歌	caramelldansen																	
Endless World	无尽世界	ew																	
Beat Of Mind	bom	nmb的mai	你妈逼的麦																
檄！帝国華撃団(改)	滑稽团	帝国华击团	帝国滑稽团	屑团	改														
メランコリック	忧郁的心情																		
教えて!! 魔法のLyric	教教																		
ZIGG-ZAGG	拉链																		
ワールズエンド・ダンスホール	末世舞厅	世末舞厅	世界终末舞厅	world's end dancehall															
パンダヒーロー	panda hero	熊猫英雄																	
オレンジの夏	橙色夏天	橙夏																	
BaBan!! －甘い罠－																			
ジングルベル	圣诞歌	鸡公煲	圣诞	吵死了	Jingle Bell														
マトリョシカ	俄罗斯套娃	套娃																	
メグメグ☆ファイアーエンドレスナイト	Meg Meg Fire Endless Night																		
天国と地獄	天国地狱	天国																	
きみのためなら死ねる	为了你而死	为你而死																	
怪盗Rのテーマ	怪盗R的影之诗	怪盗R																	
マリアをはげませ	秃头玛丽亚																		
SHOW TIME																			
City Escape: Act1	索1																		
Rooftop Run: Act1	逃离屋顶	索2	蓝猫																
Reach For The Stars	追星	索3																	
Urban Crusher [Remix]	机器人																		
Catch The Future	抓住未来																		
JACKY [Remix]																			
Tell Your World	TYW	难忘今宵																	
おちゃめ機能	天真烂漫机能	机能	五月病																
ダンシング☆サムライ	茄子先生	跳舞武士	茄子																
BAD∞END∞NIGHT	坏结夜	BEN																	
ロミオとシンデレラ	罗密欧	灰姑娘	罗密欧与辛德瑞拉	罗与灰	罗密欧与灰姑娘	口三才													
Sweetiex2																			
腐れ外道とチョコレゐト	外道	巧克力	腐外道	该死的异端															
Quartet Theme [Reborn]	手枪人	QT	COSIO																
Sky High [Reborn]	天空高																		
Like the Wind [Reborn]	一块钱	重生之风	风が好き	喜欢风															
YA･DA･YO [Reborn]	亚达哟	yadayo	说唱																
Space Harrier Main Theme [Reborn]	太空哈利	太空																	
DADDY MULK -Groove remix-	爸爸奶	爹奶	爸奶																
ぴぴぱぷぅ！	比巴卜																		
炎歌 -ほむらうた-	炎歌	阉割																	
犬日和。	狗日子	狗天气	犬日和	狗日															
ソーラン☆節	索兰节	捕鱼节	六魁首																
デコボコ体操第二	体操第二																		
スイートマジック	甜甜魔法	sweet magic	甜蜜魔法																
ゴーゴー幽霊船	幽灵船	sasasasa																	
千本桜																			
御旗のもとに	御旗																		
FEEL ALIVE	感觉活着	女人赛跑	绝赞转圈																
Link	林克																		
Turn around	转弯																		
We Gonna Party	wgp	咱想开派对	我们去派对	派对															
Night Fly	夜飞	夜晚飞																	
Feel My Fire	感受我的火																		
Streak	绿庙	米奇妙妙屋	拆房子	绿房子	牛排	翠楼屋													
Spin me harder	蓝蝴蝶	电蝴蝶	更用力地抽我	转我硬	大蝴蝶														
Lionheart	狮心	莱因哈特	spaceman																
Acceleration	加速	加速器																	
Sprintrances	冰山																		
Nerverakes	两块钱	地球仪																	
Black Out	黑出																		
Fragrance	香水	斜塔	大厦	弗拉钢丝															
air's gravity	空气重力	大气重力																	
Starlight Disco																			
39																			
地上の戦士	地上的战士																		
超絶！Superlative	超绝																		
采配の刻 Power of order	命令时刻	采配																	
DO RORO DERODERO ON DO RORO	多罗罗	源平2	迪罗迪罗	dororo															
泣き虫O'clock	泣虫	爱哭鬼																	
Natural Flow	自然流	自然流																	
maimaiちゃんのテーマ	PLUS主题曲	maimai酱																	
君の知らない物語																			
I ♥	我爱																		
＊ハロー、プラネット。																			
イアイア★ナイトオブデザイア	欲望之夜																		
ローリンガール	滚女	rolling girl	回转少女																
天ノ弱																			
弱虫モンブラン	弱虫	胆小鬼	错位练习歌	胆小鬼蒙布朗	弱虫蒙布朗	784	甜点												
モザイクロール	马赛克卷	Mosaic Roll																	
脳漿炸裂ガール	脑浆																		
SPiCa																			
セツナトリップ																			
放課後ストライド	放课后冲	放课后																	
カゲロウデイズ	车祸歌	阳炎	车祸曲	阳炎眩乱	白阳炎	阳炎DAZE	阳炎Days												
チルノのパーフェクトさんすう教室	算数教室	琪露诺的完美算数教室	⑨	琪露诺	バカバカ	⑨舞	9舞												
Bad Apple!! feat nomico	坏苹果	烂苹果	坏林檎																
魔理沙は大変なものを盗んでいきました	魔理沙偷走了重要的东西	魔理沙	被刑拘	魔理沙的大便															
Grip & Break down !!																			
Help me, ERINNNNNN!!	erin	救救																	
ナイト・オブ・ナイツ	夜骑	十六夜咲夜	pad	nok	night of knight	night of knights													
全人類ノ非想天則	非想天則	打则死路一条	非想天则	大机器人	则	开高达													
しゅわスパ大作戦☆	修哇	修哇大作战	下药歌	野兽妹															
時空を超えて久しぶり！	puyopuyo	噗哟噗哟	时空																
Her Dream Is To Be A Fantastic Sorceress	女足梦想	噗哟噗哟2	噗哟噗哟																
ココロスキャンのうた	心灵扫描歌	捂裆男	白色小人	捂裆歌															
神室雪月花	雪月花	如龙																	
KONNANじゃないっ！	柯南	困难	女如龙	粉色小裙子	全换	遥													
awake	醒了	起了																	
Mysterious Destiny	贝姐	神秘命运																	
Riders Of The Light	驭光者	猎天使魔女																	
Terminal Storm																			
記憶、記録	记忆记录	恐怖谷																	
セガサターン起動音[H.][Remix]	启动音	世嘉土星启动音	起动音	转圈练习	土星														
夜咄ディセイブ	夜咄	kano角色歌	夜咄deceive																
ウサテイ	兔子快跑	帝帝跑跑跑	兔子																
sweet little sister	甜小姐姐	甜二妹	甜小妹																
Blew Moon	吹月	口区	蓝月亮																
Garakuta Doll Play	GDP	鬼牌	小丑	果丹皮	鸡滴屁	国内生产总值	小丑变魔术	轨道炮	狗弟屁	t+p教你打扑克									
Dreampainter	梦境绘画者																		
ぐるぐるWASH！コインランドリー・ディスコ	洗衣房	suomi	洗衣机	咕噜咕噜wash															
CYCLES	马瓦鲁	马挖路	轮回	马洼路	马瓦路	马哇撸	马洼路	🐴哇路											
Heartbeats	心动																		
Life Feels Good	生活感觉好	好日子	感觉很好	LFG															
MYTHOS	小提琴	神话	味增																
End of Twilight	暮光终结	暮光的尽处	eot																
火炎地獄	火炎地狱	皮炎地狱	77乐园																
ユビキリ	拉勾勾	狗粮	指切																
Pixel Voyage	小飞机	像素																	
Get Happy	爽了	给爽																	
System “Z”	系统z	系统	系统贼																
Beat of getting entangled	boge	胡来的处男	胡辣汤																
Cosmic Train	宇宙列车	宇宙小火车																	
ナミダと流星	眼泪与流星	眼泪流星	流星	流星一笔画															
おても☆Yan	阿铁摸呀	陕北民歌	阿铁摸鸭	山歌															
maiム・maiム feat.週刊少年マガジン	周刊少年	周刊																	
Danza zandA	小号歌	蛋砸砸蛋																	
Backyun! －悪い女－																			
Monochrome Rainbow	单色彩虹	黑白彩虹																	
みんなのマイマイマー	大家的maimai吗	maimai	大家的maimaimer	maimaimer															
円舞曲、君に	圆舞曲	舞曲																	
Live & Learn	SA2																		
Burning Hearts ～炎のANGEL～	BR	烧心	炎天使																
いーあるふぁんくらぶ																			
Nyan Cat EX	彩虹猫	nyanyanyanyan																	
ぽっぴっぽー	蔬菜歌	蔬菜汁																	
LUCIA	露西亚																		
Death Scythe	死镰	死镰1																	
BREAK YOU!!	破坏你	绝赞你																	
JUMPIN' JUMPIN'	跳跳																		
L'épilogue	法文歌	尾声																	
Save This World νMIX	拯救世界	救世	救世啊																
Living Universe	住在宇宙	活宇宙																	
Ignite Infinity																			
トルコ行進曲 - オワタ＼(^o^)／	土耳其进行曲	土耳其	完蛋	OWATA															
裏表ラバーズ	里表	里表情人																	
